Numero consulta,Recuerdo,Numero de documentos relevantes
1,0,463
2,0,2345
3,0,1371
4,0,2262
5,0,409
6,0,2306
7,0,2262
8,0,2356
9,0,1696
10,0,2263
11,0,2305
12,0,1550
13,0,2263
14,0,2304
15,0,419
16,0,2103
17,0,2233
18,0,583
19,0,2263
20,0,2462
21,0,2077
22,0,2146
23,0,2156
24,0,931
25,0,798
26,0,1630
27,0,1936
28,0,1649
29,0,2537
30,0,2709
31,0,183
32,0,978
33,0,2064
34,0,1584
35,0,1665
36,0,2127
37,0,2130
38,0,1552
39,0,2453
40,0,2662
41,0,1831
42,0,2149
43,0,1590
44,0,1301
45,0,1518
46,0,2606
47,0,1587
48,0,2640
49,0,1638
50,0,2036
51,0,2267
52,0,2241
53,0,2200
54,0,1636
55,0,947
56,0,287
57,0,1717
58,0,2381
59,0,2373
60,0,2221
61,0,364
62,0,278
63,0,2386
64,0,1841
