Numero de entrada en el vocabulario,palabra,Positiva,Negativa,Frecuencia_Total
0,hidden,1.0,0.0,1.0
1,recording,105.0,12.0,117.0
2,discovered,5.0,1.0,6.0
3,official,8.0,0.0,8.0
4,amon,1.0,0.0,1.0
5,recomnended,1.0,0.0,1.0
6,microphones,1.0,0.0,1.0
7,rpm,1.0,0.0,1.0
8,fixreplace,1.0,0.0,1.0
9,googled,2.0,1.0,3.0
10,spades,1.0,0.0,1.0
11,carried,2.0,1.0,3.0
12,remember,19.0,4.0,23.0
13,phonies,1.0,0.0,1.0
14,uninterrupted,1.0,0.0,1.0
15,highperforming,1.0,0.0,1.0
16,upset,2.0,4.0,6.0
17,amazingi,2.0,0.0,2.0
18,wise,4.0,1.0,5.0
19,imprinted,0.0,1.0,1.0
20,thumbnail,3.0,0.0,3.0
21,skydive,1.0,0.0,1.0
22,assuringly,1.0,0.0,1.0
23,extension,1.0,0.0,1.0
24,lower,29.0,10.0,39.0
25,marginsupdate,0.0,1.0,1.0
26,powerful,5.0,0.0,5.0
27,kinda,8.0,1.0,9.0
28,ewell,1.0,0.0,1.0
29,iin,1.0,0.0,1.0
30,phabletso,0.0,1.0,1.0
31,playi,1.0,0.0,1.0
32,bought,667.0,100.0,767.0
33,b,4.0,2.0,6.0
34,hadthe,0.0,1.0,1.0
35,recomend,6.0,1.0,7.0
36,white,13.0,2.0,15.0
37,types,7.0,2.0,9.0
38,beleive,0.0,1.0,1.0
39,advertisement,3.0,1.0,4.0
40,accident,2.0,0.0,2.0
41,phonecar,1.0,0.0,1.0
42,ontime,1.0,0.0,1.0
43,mount,7.0,3.0,10.0
44,wednesdays,1.0,0.0,1.0
45,random,6.0,6.0,12.0
46,computing,1.0,0.0,1.0
47,auththentic,1.0,0.0,1.0
48,snap,10.0,0.0,10.0
49,unrecognized,0.0,1.0,1.0
50,websitelolso,1.0,0.0,1.0
51,recordingdowning,1.0,0.0,1.0
52,waswhile,1.0,0.0,1.0
53,presents,1.0,0.0,1.0
54,bluetooth,3.0,1.0,4.0
55,organize,3.0,0.0,3.0
56,occurs,1.0,0.0,1.0
57,erasing,2.0,2.0,4.0
58,finevu,1.0,0.0,1.0
59,background,1.0,1.0,2.0
60,moviesthis,1.0,0.0,1.0
61,gbdaniel,0.0,1.0,1.0
62,switching,2.0,0.0,2.0
63,stutter,4.0,0.0,4.0
64,observed,2.0,1.0,3.0
65,videoshipping,1.0,0.0,1.0
66,nonapple,1.0,0.0,1.0
67,commercialadvertisingmarketing,1.0,0.0,1.0
